serial,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
469,Galaxy Note20 5G N9810 8/256GB Mystic Gray,0,956,21175,20290,22949,34,6.7,256,4300,Sep-20
470,Galaxy Note20 5G SM-N981B 8/256GB Mystic Bronze,0,730,21222,20230,28270,27,6.7,256,4300,Aug-20
471,Galaxy Note20 SM-N980F 8/256GB Mystic Green (SM-N980FZGG),0,1080,22670,18920,30778,63,6.7,256,4300,Aug-20
472,Galaxy Note20 Ultra 5G SM-N9860 12/256GB Mystic Black,0,1146,30008,28948,34505,33,6.9,256,4500,Sep-20
473,Galaxy Note20 Ultra 5G SM-N986B 12/256GB Mystic Black,0,1013,28896,27149,34640,36,6.9,256,4500,Aug-20
474,Galaxy Note20 Ultra 5G SM-N986B 12/512GB Mystic Black (SM-N986BZKH),0,800,39524,28381,41999,20,6.9,512,4500,Aug-20
475,Galaxy Note20 Ultra SM-N985F 8/256GB Mystic Bronze (SM-N985FZNG),0,1147,32669,27599,35999,38,6.9,256,4500,Aug-20
476,Galaxy S10 Lite SM-G770 6/128GB Black (SM-G770FZKG),0,1190,14079,12049,15469,4,6.7,128,4500,Jan-20
477,Galaxy S10 Lite SM-G770 8/128GB Black,0,1054,14654,13167,16476,11,6.7,128,4500,Mar-20
478,Galaxy S10 SM-G973 DS 128GB Green (SM-G973FZGD),0,1199,17561,14499,18999,64,6.1,128,3400,Feb-19
479,Galaxy S10 SM-G973 DS 512GB Black,0,198,21229,17900,23261,13,6.1,512,3400,Feb-19
480,Galaxy S10 SM-G9730 DS 128GB Black,0,861,19123,17999,20510,10,6.1,128,3400,Feb-19
481,Galaxy S10+ SM-G975 DS 128GB Black (SM-G975FZKD),0,1180,17860,13888,23218,45,6.4,128,4000,Feb-19
482,Galaxy S10+ SM-G975 DS 1TB Black (SM-G975FCKH),0,847,22932,20995,47292,22,6.4,1000,4000,Feb-19
483,Galaxy S10+ SM-G975 DS 1TB Ceramic White (SM-G975FCWH),0,795,23137,20995,47292,22,6.4,1000,4000,Feb-19
484,Galaxy S10+ SM-G975 DS 512GB Black (SM-G975FCKG),0,910,21304,18619,39999,26,6.4,512,4000,Feb-19
485,Galaxy S10+ SM-G975 DS 512GB White (SM-G975FCWG),0,828,19878,17970,33999,28,6.4,512,4000,Feb-19
486,Galaxy S10+ SM-G975 SS 512GB White,0,413,18739,,,1,6.4,512,4000,Feb-19
487,Galaxy S10+ SM-G975 SS 512GB White,0,403,18739,,,1,6.4,512,4000,Feb-19
488,Galaxy S10+ SM-G9750 DS 128GB Black,0,817,20044,19529,20999,9,6.4,128,4000,Feb-19
489,Galaxy S10+ SM-G9750 DS 128GB Black,0,815,20044,19529,20999,9,6.4,128,4000,Feb-19
490,Galaxy S10+ SM-G9750 DS 1TB Black,0,66,21454,20954,21954,3,6.4,1000,4000,Feb-19
491,Galaxy S10e SM-G970 DS 128GB Black (SM-G970FZKD),0,1122,16313,15483,17499,23,5.8,128,3100,Feb-19
492,Galaxy S10e SM-G9700 DS 128GB Black,0,499,12499,,,1,5.8,128,3100,Mar-19
493,Galaxy S20 5G SM-G981 12/128GB Cosmic Gray,0,1003,20699,,,1,6.2,128,4000,Jul-20
494,Galaxy S20 5G SM-G9810 12/128GB Cloud Pink,0,1034,22846,22130,24453,22,6.2,128,4000,May-20
495,Galaxy S20 FE 5G SM-G7810 8/128GB Cloud Navy,0,1181,17390,16810,18499,20,6.5,128,4500,Oct-20
496,Galaxy S20 FE 5G SM-G7810 Dual 8/256GB Cloud Navy,0,913,21157,20510,22116,14,6.5,256,4500,Jan-21
497,Galaxy S20 FE 5G SM-G781B 6/128GB Cloud Red,0,964,17332,16690,18017,10,6.5,128,4500,Dec-20
498,Galaxy S20 FE 5G SM-G781B 8/128GB Cloud Red,0,396,16980,,,1,6.5,128,4500,Jan-21
499,Galaxy S20 FE SM-G780F 6/128GB Blue (SM-G780FZBD),0,1197,17631,15280,21724,79,6.5,128,4500,Sep-20
500,Galaxy S20 FE SM-G780F 6/256GB Cloud Navy,0,439,20513,18999,22449,8,6.5,256,4500,Dec-20
